DATE',ID_CAMS',0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-01-07',6193,13.568093,13.655085,12.509543,10.389585,11.096640,11.526589,11.779433,13.263731,14.379567,14.192721,14.016223,14.461655,15.084253,14.754502,13.921637,15.084593,15.524978,15.841240,16.760052,16.846792,16.653057,16.812471,17.026505,17.593113
2019-01-07',6194,13.650829,14.688256,13.461117,11.018821,10.843146,11.203662,11.714682,13.969500,14.754166,13.657598,13.776514,14.942777,15.896631,16.551067,15.531271,15.190037,15.798793,15.710835,16.179667,16.089476,15.867957,15.548863,15.710131,16.040066
2019-01-07',6377,15.102710,13.868560,12.437197,10.737495,12.111999,13.494061,15.655899,17.817301,16.742748,14.603529,14.487555,14.608027,14.070679,13.636960,14.167072,15.180317,18.384983,19.786535,21.536364,22.295206,21.954124,20.423782,20.232166,19.483158
2019-01-07',6378,13.728931,14.913712,13.618474,11.538967,12.893652,14.479072,17.963551,18.587017,17.563026,15.799870,15.541673,16.893415,17.588888,18.239914,18.513050,18.195860,19.675856,20.042757,21.220598,21.486637,20.183680,18.412251,18.028681,18.892185
2019-01-07',6379,13.524323,15.413649,14.116664,11.953213,12.332530,13.427661,17.476274,17.298464,17.131926,14.589247,14.367543,15.672420,16.713755,17.305834,18.395042,17.681995,18.304819,18.510323,19.429930,18.553062,18.019068,16.734985,16.308521,16.533453
2019-01-07',6562,15.102710,13.868560,12.437197,10.737495,12.111999,13.494061,15.655899,17.817301,16.742748,14.603529,14.487555,14.608027,14.070679,13.636960,14.167072,15.180317,18.384983,19.786535,21.536364,22.295206,21.954124,20.423782,20.232166,19.483158
2019-01-07',6563,13.728931,14.913712,13.618474,11.538967,12.893652,14.479072,17.963551,18.587017,17.563026,15.799870,15.541673,16.893415,17.588888,18.239914,18.513050,18.195860,19.675856,20.042757,21.220598,21.486637,20.183680,18.412251,18.028681,18.892185
2019-01-07',6564,13.524323,15.413649,14.116664,11.953213,12.332530,13.427661,17.476274,17.298464,17.131926,14.589247,14.367543,15.672420,16.713755,17.305834,18.395042,17.681995,18.304819,18.510323,19.429930,18.553062,18.019068,16.734985,16.308521,16.533453
2019-01-07',6747,16.323648,15.855692,14.406111,12.761825,14.155633,15.808668,19.957518,18.995693,17.656214,16.402210,15.313034,15.781587,16.793280,17.188366,17.987333,18.783480,19.779055,20.437336,21.746740,23.008562,23.069122,21.541395,19.579519,20.093399
2019-01-07',6748,16.002100,15.378279,13.900090,12.134899,13.991867,15.541703,19.092588,18.326263,17.996344,16.119658,15.012418,15.487934,16.494141,16.908754,17.851847,18.668314,19.346249,19.434732,20.232616,20.701403,20.445330,18.511286,18.385054,19.387007
2019-01-07',6749,15.680552,14.900865,13.653930,12.120354,13.299685,14.504395,17.535135,17.392694,17.146236,15.226220,14.065648,14.383978,16.061193,16.363598,17.041716,17.881346,18.206594,18.037472,18.926781,19.000881,18.063038,16.933426,16.294992,16.410557
2019-01-08',6192,19.409355,22.731030,21.352638,23.697153,25.152246,27.491014,32.911308,37.166203,33.366989,31.888807,27.507895,27.099419,21.862661,23.702753,23.390137,27.671503,31.128067,43.826107,44.092587,38.871635,29.319382,22.573761,22.670053,21.529676
2019-01-08',6193,17.895899,20.022554,19.807350,24.336769,29.662601,31.956350,40.903835,42.084805,42.182636,39.718788,26.434464,23.546703,23.516066,29.093143,24.612185,25.955925,27.333982,28.356312,31.692381,31.861202,28.896042,28.252974,28.004026,24.606270
2019-01-08',6194,16.546322,18.111351,18.271612,19.145487,21.264156,23.685064,28.344624,32.892445,32.311123,29.317183,20.324251,18.595245,17.919092,20.320726,22.499983,22.016733,21.851753,23.174444,25.430054,27.044724,28.046503,26.122084,22.942930,19.091549
2019-01-08',6377,20.276245,24.132475,24.740137,25.996496,30.549885,33.357525,45.252285,37.644054,33.506172,31.263927,27.306200,22.101120,23.402506,25.644382,26.355473,27.035198,36.340622,38.135738,33.050697,26.394733,25.510178,23.030455,20.729519,21.018370
2019-01-08',6378,19.932209,23.611649,25.753471,30.321144,38.596157,44.275627,47.573872,50.604725,42.638748,39.965092,26.883711,23.017094,22.649885,30.275885,25.063778,26.937441,31.326252,35.838898,32.074596,31.383369,28.786304,26.221416,26.377026,25.389116
2019-01-08',6379,17.356142,20.656273,21.077147,25.627569,34.143738,41.763203,44.291477,40.056435,32.581867,30.005983,21.880980,20.853746,20.661901,23.749563,24.031160,23.787193,22.937506,25.196180,27.829002,27.304058,28.000473,25.700575,23.312000,20.014729
2019-01-08',6562,20.276245,24.132475,24.740137,25.996496,30.549885,33.357525,45.252285,37.644054,33.506172,31.263927,27.306200,22.101120,23.402506,25.644382,26.355473,27.035198,36.340622,38.135738,33.050697,26.394733,25.510178,23.030455,20.729519,21.018370
2019-01-08',6563,19.932209,23.611649,25.753471,30.321144,38.596157,44.275627,47.573872,50.604725,42.638748,39.965092,26.883711,23.017094,22.649885,30.275885,25.063778,26.937441,31.326252,35.838898,32.074596,31.383369,28.786304,26.221416,26.377026,25.389116
